Variável,Valor
Função objetivo,2358.3999999999996
"X[0,0]",68.0
"X[0,1]",264.0
"X[0,2]",360.0
"X[0,3]",540.0
"X[0,4]",360.0
"X[0,5]",540.0
"X[1,0]",0.0
"X[1,1]",0.0
"X[1,2]",0.0
"X[1,3]",0.0
"X[1,4]",48.0
"X[1,5]",0.0
"X[2,0]",0.0
"X[2,1]",0.0
"X[2,2]",102.0
"X[2,3]",0.0
"X[2,4]",360.0
"X[2,5]",210.0
"E[0,0]",0.0
"E[0,1]",0.0
"E[0,2]",0.0
"E[0,3]",0.0
"E[0,4]",0.0
"E[0,5]",0.0
"E[1,0]",0.0
"E[1,1]",0.0
"E[1,2]",0.0
"E[1,3]",0.0
"E[1,4]",0.0
"E[1,5]",0.0
"E[2,0]",0.0
"E[2,1]",0.0
"E[2,2]",0.0
"E[2,3]",0.0
"E[2,4]",0.0
"E[2,5]",0.0
"P[0,0,0]",0.0
"P[0,0,1]",0.0
"P[0,0,2]",0.0
"P[0,0,3]",0.0
"P[0,0,4]",0.0
"P[0,0,5]",0.0
"P[1,0,0]",0.0
"P[1,0,1]",0.0
"P[1,0,2]",0.0
"P[1,0,3]",0.0
"P[1,0,4]",0.0
"P[1,0,5]",0.0
"P[2,0,0]",0.0
"P[2,0,1]",0.0
"P[2,0,2]",0.0
"P[2,0,3]",0.0
"P[2,0,4]",0.0
"P[2,0,5]",0.0
"P[0,1,0]",0.0
"P[0,1,1]",0.0
"P[0,1,2]",0.0
"P[0,1,3]",0.0
"P[0,1,4]",0.0
"P[0,1,5]",0.0
"P[1,1,0]",0.0
"P[1,1,1]",0.0
"P[1,1,2]",0.0
"P[1,1,3]",0.0
"P[1,1,4]",0.0
"P[1,1,5]",0.0
"P[2,1,0]",0.0
"P[2,1,1]",0.0
"P[2,1,2]",0.0
"P[2,1,3]",0.0
"P[2,1,4]",0.0
"P[2,1,5]",0.0
"P[0,2,0]",300.0
"P[0,2,1]",300.0
"P[0,2,2]",0.0
"P[0,2,3]",0.0
"P[0,2,4]",0.0
"P[0,2,5]",0.0
"P[1,2,0]",300.0
"P[1,2,1]",300.0
"P[1,2,2]",0.0
"P[1,2,3]",0.0
"P[1,2,4]",0.0
"P[1,2,5]",0.0
"P[2,2,0]",300.0
"P[2,2,1]",300.0
"P[2,2,2]",0.0
"P[2,2,3]",0.0
"P[2,2,4]",0.0
"P[2,2,5]",0.0
"P[0,3,0]",0.0
"P[0,3,1]",0.0
"P[0,3,2]",0.0
"P[0,3,3]",0.0
"P[0,3,4]",0.0
"P[0,3,5]",0.0
"P[1,3,0]",0.0
"P[1,3,1]",0.0
"P[1,3,2]",0.0
"P[1,3,3]",0.0
"P[1,3,4]",0.0
"P[1,3,5]",0.0
"P[2,3,0]",0.0
"P[2,3,1]",0.0
"P[2,3,2]",0.0
"P[2,3,3]",0.0
"P[2,3,4]",0.0
"P[2,3,5]",0.0
"P[0,4,0]",0.0
"P[0,4,1]",0.0
"P[0,4,2]",0.0
"P[0,4,3]",0.0
"P[0,4,4]",0.0
"P[0,4,5]",0.0
"P[1,4,0]",0.0
"P[1,4,1]",0.0
"P[1,4,2]",0.0
"P[1,4,3]",0.0
"P[1,4,4]",0.0
"P[1,4,5]",0.0
"P[2,4,0]",0.0
"P[2,4,1]",0.0
"P[2,4,2]",0.0
"P[2,4,3]",0.0
"P[2,4,4]",0.0
"P[2,4,5]",0.0
"P[0,5,0]",0.0
"P[0,5,1]",0.0
"P[0,5,2]",0.0
"P[0,5,3]",0.0
"P[0,5,4]",0.0
"P[0,5,5]",0.0
"P[1,5,0]",0.0
"P[1,5,1]",0.0
"P[1,5,2]",0.0
"P[1,5,3]",0.0
"P[1,5,4]",0.0
"P[1,5,5]",0.0
"P[2,5,0]",0.0
"P[2,5,1]",0.0
"P[2,5,2]",0.0
"P[2,5,3]",0.0
"P[2,5,4]",0.0
"P[2,5,5]",0.0
